Date,City,Temperature,Humidity,Precipitation,WindSpeed
2024-01-01,New York,5,65,0.0,15
2024-01-01,London,8,75,2.5,20
2024-01-01,Tokyo,10,60,0.0,10
2024-01-01,Paris,6,70,1.0,18
2024-01-02,New York,3,70,1.5,18
2024-01-02,London,7,80,5.0,25
2024-01-02,Tokyo,9,65,0.5,12
2024-01-02,Paris,5,75,2.0,20
2024-01-03,New York,4,68,0.5,16
2024-01-03,London,9,72,1.0,22
2024-01-03,Tokyo,11,58,0.0,8
2024-01-03,Paris,7,68,0.0,15
2024-01-04,New York,6,62,0.0,14
2024-01-04,London,10,70,0.5,19
2024-01-04,Tokyo,12,55,0.0,9
2024-01-04,Paris,8,65,0.0,16
2024-01-05,New York,7,60,0.0,12
2024-01-05,London,11,68,0.0,17
2024-01-05,Tokyo,13,52,0.0,11
2024-01-05,Paris,9,62,0.0,14
